,Train_loss,Train_acc,Valid_loss,Valid_acc
0,2.303323346376419,0.130525,2.2447500228881836,0.1637
1,2.210170316696167,0.1941,2.173457646369934,0.2081
2,2.1398600935935974,0.229375,2.100232696533203,0.2578
3,2.0681813597679137,0.259875,2.0259921669960024,0.271
4,2.008834606409073,0.2773,1.9800214886665344,0.2917
5,1.9674828857183457,0.296875,1.9393083333969117,0.3016
6,1.9309702932834625,0.3117,1.899273896217346,0.3172
7,1.8940329283475876,0.32795,1.8714989304542542,0.328
8,1.8642391175031663,0.3387,1.8328425288200378,0.3458
9,1.8371581822633742,0.349125,1.8102010846138001,0.3531
