,Train_loss,Train_acc,Valid_loss,Valid_acc
0,2.300730085372925,0.1314,2.249562215805054,0.1664
1,2.2156165063381197,0.190725,2.180204916000366,0.2115
2,2.1507196128368378,0.21735,2.113295578956604,0.235
3,2.0828817903995516,0.245725,2.0414281129837035,0.2677
4,2.024593436717987,0.269925,1.9945932149887085,0.2682
5,1.9866319686174392,0.28675,1.959409773349762,0.293
6,1.9469163835048675,0.303925,1.9293688416481019,0.3004
7,1.9112773925065993,0.3182,1.880146324634552,0.333
8,1.8698640257120132,0.3379,1.8561785101890564,0.3343
9,1.8445491343736649,0.34395,1.83254234790802,0.3413
