,Train_loss,Train_acc,Valid_loss,Valid_acc
0,4.603540420532227,0.023475,4.365503787994385,0.0351
1,4.2899667620658875,0.0423,4.24812912940979,0.0451
2,4.196550190448761,0.05165,4.161097288131714,0.0553
3,4.092182099819183,0.0662,4.048672914505005,0.0788
4,3.981857120990753,0.086925,3.93163526058197,0.0941
5,3.881811708211899,0.1029,3.879363536834717,0.1012
6,3.7970453202724457,0.113025,3.792738676071167,0.1242
7,3.7137790620326996,0.129125,3.7277814149856567,0.1321
8,3.6286275684833527,0.1444,3.6673115491867065,0.1407
9,3.5435277223587036,0.158925,3.596941828727722,0.1517
10,3.4545663595199585,0.1734,3.5397921800613403,0.1673
11,3.3484120666980743,0.1961,3.4540680646896362,0.1823
12,3.2325436770915985,0.21445,3.4068597555160522,0.1914
13,3.1322405338287354,0.2327,3.333580732345581,0.2063
14,3.0076887607574463,0.256275,3.310438871383667,0.2107
15,2.8906707763671875,0.2781,3.2640753984451294,0.2218
16,2.745818257331848,0.30755,3.2676504850387573,0.2247
17,2.61341592669487,0.332525,3.268460512161255,0.2324
18,2.4221352636814117,0.375175,3.2668087482452393,0.2367
19,2.2571043372154236,0.41115,3.2983100414276123,0.2326
20,2.0016223341226578,0.4761,3.365382194519043,0.2352
21,1.8231351971626282,0.516825,3.467953324317932,0.2363
22,1.4905505180358887,0.60525,3.558724522590637,0.2346
23,1.127376914024353,0.7059,3.701362729072571,0.2348
24,0.8405546098947525,0.786775,3.9187928438186646,0.234
25,0.5957356095314026,0.852275,4.076427459716797,0.2398
26,0.34266238287091255,0.926025,4.251553297042847,0.236
27,0.2012446466833353,0.95815,4.467782735824585,0.2426
28,0.1248947624117136,0.9758,4.626285076141357,0.2381
29,0.08180968556553125,0.98475,4.752395391464233,0.2396
30,0.06169925909489393,0.9884,4.847438335418701,0.2401
31,0.04649090673774481,0.991175,4.903405427932739,0.2438
32,0.03399023925885558,0.9934,4.981444358825684,0.2416
33,0.023576189996674657,0.996225,5.0186381340026855,0.2416
34,0.016476590419188142,0.99755,5.086073875427246,0.2502
35,0.012480197823606431,0.9981,5.113133668899536,0.2472
36,0.010953561053611338,0.99805,5.150231599807739,0.2487
37,0.008237970934715122,0.998425,5.174496412277222,0.2485
38,0.007455567887518555,0.9988,5.179983854293823,0.2506
39,0.008393225085455924,0.9985,5.218825340270996,0.2475
40,0.007353280147071928,0.9984,5.2251362800598145,0.2503
41,0.007329147250857204,0.99855,5.259149074554443,0.2511
42,0.007592057983856648,0.998125,5.2594850063323975,0.2477
43,0.00865717331180349,0.998225,5.279417037963867,0.2475
44,0.008994088158942759,0.998075,5.263164520263672,0.2482
45,0.0076655325829051435,0.9985,5.293616533279419,0.249
46,0.00868120207451284,0.998025,5.319996356964111,0.2537
47,0.010037562169600278,0.99765,5.317553520202637,0.2442
48,0.012178789591416717,0.99715,5.359466314315796,0.2439
49,0.012420588172972202,0.997275,5.334968566894531,0.2484
