,Train_loss,Train_acc,Valid_loss,Valid_acc
0,2.3072365701198576,0.122675,2.254055070877075,0.1721
1,2.22536478638649,0.19085,2.1945540428161623,0.2148
2,2.1638656735420225,0.222125,2.132656288146973,0.2302
3,2.0977471649646757,0.24625,2.0559843301773073,0.2675
4,2.0284406155347825,0.274625,1.994755458831787,0.2815
5,1.9817564517259598,0.2908,1.9568261504173279,0.3044
6,1.946613159775734,0.30755,1.9267717242240905,0.311
7,1.914663478732109,0.3178,1.8893159747123718,0.3296
8,1.8817515462636947,0.3303,1.8657829761505127,0.3342
9,1.856375989317894,0.339375,1.8383226275444031,0.3481
