,Train_loss,Train_acc,Valid_loss,Valid_acc
0,4.5767982006073,0.025125,4.32522439956665,0.0409
1,4.274616718292236,0.043925,4.203162431716919,0.0532
2,4.175309121608734,0.05425,4.12265157699585,0.0601
3,4.092213571071625,0.065825,4.0196850299835205,0.0765
4,3.973564565181732,0.086525,3.903262495994568,0.1018
5,3.868547558784485,0.103525,3.819247603416443,0.1132
6,3.784670263528824,0.1137,3.7675756216049194,0.1192
7,3.7102371752262115,0.12645,3.699393630027771,0.1369
8,3.6234669983386993,0.143225,3.6366195678710938,0.1484
9,3.5443437695503235,0.155725,3.573415994644165,0.156
10,3.452556610107422,0.1719,3.54516863822937,0.1616
11,3.3493335843086243,0.19145,3.444944381713867,0.1847
12,3.249922513961792,0.208875,3.3905869722366333,0.1947
13,3.15278422832489,0.228625,3.3396549224853516,0.2047
14,3.0231761038303375,0.252375,3.3114808797836304,0.2081
15,2.9103871881961823,0.2729,3.2854197025299072,0.2181
16,2.7768834829330444,0.298325,3.2974419593811035,0.2234
17,2.6785524487495422,0.316625,3.294903874397278,0.2213
18,2.518209397792816,0.349825,3.3138259649276733,0.2264
19,2.3408637046813965,0.391025,3.3153867721557617,0.2274
20,2.109623432159424,0.4463,3.384926438331604,0.2311
21,1.884933203458786,0.50005,3.4854599237442017,0.221
22,1.653197020292282,0.560175,3.5368125438690186,0.2311
23,1.3440089672803879,0.640725,3.6867849826812744,0.2293
24,1.0351772457361221,0.732375,3.8276617527008057,0.2277
25,0.7033669725060463,0.82725,4.025689601898193,0.2278
26,0.44818227738142014,0.89665,4.244609117507935,0.231
27,0.2609169166535139,0.94595,4.447970867156982,0.232
28,0.1545556727796793,0.97005,4.650000095367432,0.2273
29,0.09763494785875082,0.982025,4.789536952972412,0.2305
