,Train_loss,Train_acc,Valid_loss,Valid_acc
0,4.614515006542206,0.024875,4.363617897033691,0.0354
1,4.274724304676056,0.044125,4.207640171051025,0.054
2,4.165747880935669,0.05655,4.115612506866455,0.0632
3,4.056613594293594,0.072675,4.017175197601318,0.0754
4,3.9464175403118134,0.092525,3.9133057594299316,0.0933
5,3.8522123992443085,0.106175,3.844638705253601,0.1101
6,3.7601729333400726,0.121475,3.7824498414993286,0.1204
7,3.678115278482437,0.136825,3.7121129035949707,0.1321
8,3.5919719338417053,0.1515,3.6529566049575806,0.1421
9,3.4939484894275665,0.169725,3.5842347145080566,0.1587
10,3.394428998231888,0.185625,3.5042654275894165,0.1728
11,3.2941303849220276,0.20445,3.443575382232666,0.1822
12,3.2007810175418854,0.2209,3.416246175765991,0.1876
13,3.0936387479305267,0.2369,3.3630311489105225,0.1976
14,2.973081022500992,0.2622,3.3340357542037964,0.2068
15,2.8590962886810303,0.284675,3.325347423553467,0.2082
16,2.747243344783783,0.304875,3.341234564781189,0.2175
17,2.5661953389644623,0.3431,3.3100695610046387,0.2221
18,2.3925437927246094,0.3797,3.346593499183655,0.2205
19,2.190755218267441,0.427,3.4099903106689453,0.222
20,2.001690685749054,0.473025,3.4680111408233643,0.2212
21,1.779038354754448,0.525025,3.525536298751831,0.2267
22,1.4168814569711685,0.626175,3.693863034248352,0.2204
23,1.1014197915792465,0.714625,3.8534185886383057,0.2189
24,0.84890316426754,0.782475,4.013998746871948,0.2235
25,0.5434092357754707,0.868675,4.230086326599121,0.2188
26,0.32639146596193314,0.927675,4.432096242904663,0.2221
27,0.18535264022648335,0.963625,4.59954571723938,0.2263
28,0.11643625050783157,0.977475,4.798325300216675,0.2249
29,0.0740953590720892,0.986225,4.930946111679077,0.2245
30,0.052285393700003624,0.990275,4.997271776199341,0.2323
31,0.041396474465727806,0.992,5.097355604171753,0.2293
32,0.031076930230483413,0.9941,5.14769434928894,0.2265
33,0.028365496546030045,0.994175,5.221385478973389,0.2252
34,0.024429781129583716,0.995,5.293878078460693,0.2301
35,0.0211491237860173,0.9959,5.280089378356934,0.2293
36,0.018902220646850765,0.9961,5.318190574645996,0.2277
37,0.016731299343518913,0.9967,5.355737924575806,0.2301
38,0.014614622108638287,0.9972,5.389242887496948,0.2279
39,0.012283664429560304,0.9974,5.428505897521973,0.226
40,0.012817830662243068,0.9974,5.433987379074097,0.2292
41,0.011003350489772856,0.9979,5.466789722442627,0.2311
42,0.00881437974749133,0.998075,5.503004550933838,0.2307
43,0.008325836097355932,0.99845,5.511608362197876,0.2356
44,0.006927656766492873,0.998525,5.524198055267334,0.2347
45,0.006407446810044348,0.998625,5.519349575042725,0.2351
46,0.00525229045888409,0.998975,5.545983791351318,0.2351
47,0.004926296503981575,0.9988,5.5757811069488525,0.2376
48,0.004469766980037093,0.998975,5.581438302993774,0.2335
49,0.0044438065378926694,0.999025,5.621957778930664,0.2352
