,Train_loss,Train_acc,Valid_loss,Valid_acc
0,4.654800319671631,0.01455,4.593377780914307,0.0196
1,4.583304977416992,0.02385,4.574900579452515,0.0228
2,4.563226282596588,0.028375,4.553129577636719,0.0301
3,4.538890087604523,0.032225,4.526252317428589,0.0319
4,4.506624484062195,0.0371,4.48965368270874,0.0375
5,4.461907804012299,0.043025,4.437068748474121,0.0425
6,4.394107687473297,0.04985,4.352163219451905,0.049
7,4.291968905925751,0.05425,4.243062210083008,0.055
8,4.194036817550659,0.062225,4.154470062255859,0.0685
9,4.117769551277161,0.07465,4.079269886016846,0.081
10,4.0374854624271395,0.08875,3.9915565252304077,0.1012
11,3.948800665140152,0.1071,3.9260257959365843,0.1068
12,3.870971381664276,0.1205,3.85089750289917,0.1167
13,3.8056452453136442,0.131,3.798606538772583,0.1339
14,3.752544176578522,0.1409,3.769209146499634,0.1378
15,3.7100455701351165,0.147375,3.725353980064392,0.1449
16,3.665451669692993,0.158025,3.6912727117538453,0.1489
17,3.625396251678467,0.16575,3.6614643812179564,0.1559
18,3.590309906005859,0.1719,3.6344398736953734,0.161
19,3.561579591035843,0.175,3.5978384733200075,0.1633
20,3.514728677272797,0.18175,3.574661135673523,0.1679
21,3.4909594655036926,0.18745,3.5725816965103148,0.1712
22,3.4634833157062532,0.19265,3.5355045557022096,0.1729
23,3.4222118973731996,0.198225,3.52859423160553,0.1784
24,3.3959695518016817,0.2039,3.498523783683777,0.1807
25,3.3705993235111236,0.208025,3.460782551765442,0.1911
26,3.3474581480026244,0.211275,3.451274275779724,0.1894
27,3.3198351919651032,0.214825,3.4388924837112427,0.1934
28,3.287235105037689,0.221675,3.417154812812805,0.1966
29,3.258272796869278,0.229,3.42035117149353,0.1944
30,3.2382028222084047,0.229925,3.4191166639328,0.1931
31,3.2170858800411226,0.2345,3.369413375854492,0.2032
32,3.190458023548126,0.23865,3.3663517951965334,0.2062
33,3.1582462012767794,0.24545,3.342777156829834,0.2125
34,3.1406436920166017,0.249225,3.320405602455139,0.2112
35,3.1198519349098204,0.255575,3.3246745824813844,0.2134
36,3.0940440952777863,0.258375,3.306523561477661,0.2157
37,3.062050771713257,0.264675,3.288842535018921,0.2196
38,3.043169969320297,0.268225,3.3114559650421143,0.2138
39,3.01940461397171,0.272875,3.2659626960754395,0.2207
40,2.9970440447330473,0.274475,3.257538175582886,0.2242
41,2.9705758690834045,0.2805,3.2505547523498537,0.2236
42,2.9438988089561464,0.28835,3.2254583835601807,0.2315
43,2.9308918118476868,0.2877,3.241879439353943,0.2289
44,2.9077262461185454,0.293775,3.2070557832717896,0.2369
45,2.872219854593277,0.300075,3.227306628227234,0.2353
46,2.8496082544326784,0.30535,3.191944217681885,0.2355
47,2.8326357662677766,0.3117,3.2245886087417603,0.2308
48,2.8249829769134522,0.31005,3.186506175994873,0.2369
49,2.775194841623306,0.321325,3.165894055366516,0.2384
50,2.7510886967182158,0.325825,3.1752795219421386,0.2391
51,2.7422303199768066,0.328625,3.1830374956130982,0.2369
52,2.7092419862747192,0.3356,3.1597062587738036,0.2418
53,2.680772876739502,0.3415,3.1373276472091676,0.2485
54,2.6697837352752685,0.3419,3.152495288848877,0.2455
55,2.641520935297012,0.350725,3.1176639795303345,0.2533
56,2.613626515865326,0.357125,3.1195244550704957,0.2506
57,2.5889077961444853,0.36385,3.114772844314575,0.2518
58,2.563888794183731,0.364725,3.123141360282898,0.2524
59,2.5406498491764067,0.371,3.1146698951721192,0.2599
60,2.5109758973121643,0.379175,3.0923599004745483,0.2588
61,2.4708785474300385,0.3903,3.0901008367538454,0.2599
62,2.4507261991500853,0.393175,3.1080052614212037,0.2549
63,2.440335178375244,0.3944,3.0894766807556153,0.26
64,2.402247738838196,0.40775,3.089237928390503,0.2604
65,2.3858535051345826,0.406425,3.0812188625335692,0.2614
66,2.341790384054184,0.420225,3.0656445026397705,0.2663
67,2.315118211507797,0.42715,3.0897477149963377,0.2626
68,2.292460286617279,0.4304,3.084309959411621,0.2648
69,2.2527576625347137,0.440975,3.0713717937469482,0.2673
70,2.2285324931144714,0.448675,3.067061924934387,0.2675
71,2.204650712013245,0.452275,3.073780083656311,0.2645
72,2.1723162293434144,0.4613,3.0977059602737427,0.2672
73,2.138278329372406,0.470375,3.0698302507400514,0.2669
74,2.1062567055225374,0.478,3.067768406867981,0.271
75,2.065266579389572,0.488175,3.063610625267029,0.2753
76,2.04397813975811,0.496775,3.0760768175125124,0.2656
77,2.000191020965576,0.50625,3.0625601053237914,0.2745
78,1.9656324684619904,0.516425,3.067839241027832,0.2727
79,1.9327883183956147,0.522525,3.1176260471343995,0.2612
80,1.921927610039711,0.526525,3.077050709724426,0.272
81,1.8697830617427826,0.541975,3.0908512353897093,0.2706
82,1.8208195686340332,0.554475,3.0879351139068603,0.27
83,1.7989249289035798,0.5598,3.131728267669678,0.2658
84,1.758772721886635,0.5713,3.118291974067688,0.272
85,1.7178432077169419,0.582475,3.109839606285095,0.2728
86,1.6709054797887801,0.597375,3.1055461883544924,0.2716
